what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1289361179243
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1289361179246
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1289361179246
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1289361179268
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1289361179269
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1289361179271
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1289361179273
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1289361179308
os,sysinfo,,,"win32",1289361179312
arch,sysinfo,,,"x86_64",1289361179312
ws,sysinfo,,,"win32",1289361179312
locale,sysinfo,,,"en_US",1289361179312
processors,sysinfo,,,"4",1289361179312
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1289361179312
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1289361179312
java.specification.name,sysinfo,,,"Java Platform API Specification",1289361179312
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289361179312
java.specification.version,sysinfo,,,"1.6",1289361179312
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289361179312
java.version,sysinfo,,,"1.6.0_21",1289361179312
java.vm.info,sysinfo,,,"mixed mode",1289361179312
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1289361179312
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289361179312
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289361179312
java.vm.specification.version,sysinfo,,,"1.0",1289361179312
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289361179312
java.vm.version,sysinfo,,,"17.0-b16",1289361179312
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1289361179335
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1289361179559
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1289361179562
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1289361179834
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1289361179932
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1289361180045
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1289361180074
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289361180127
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1289361180205
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1289361180267
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1289361180292
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289361180797
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1289361180850
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289361180883
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289361181251
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1289361181341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289361231345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289362182207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289362183787
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289362185413
